VdW;rho_c = 3.5;T_c = 0.5714285714;;a = 9.0 / 49.0;b = 2.0 / 21.0;R = 1.0;width = 8;200 x 200
Tr;k;A;Spurious Currents (Max);rho_g (Maxwell);rho_g (Actual);rho_l (Maxwell);rho_l (Actual);Error^2
0.55;0.0981005;0.22799;1.69E-04;0.131530159;0.141823128;8.356422485;8.424690247;0.004766432
0.6;0.114601;0.23986;1.04E-04;0.209223388;0.227241635;8.090447852;8.164046288;0.005741387
0.65;0.1322415;0.25911;6.91E-05;0.31316375;0.338154584;7.80359137;7.881995201;0.006771703
0.7;0.151022;0.28574;4.67E-05;0.480780526;0.484336227;7.49154892;7.575089455;0.006991664
0.75;0.1709425;0.31975;9.81E-05;0.620231522;0.672986329;7.148238315;7.216682911;0.007467732
0.8;0.192003;0.36114;5.61E-05;0.838834226;0.900897324;6.7644704;6.837594986;0.009199033
0.85;0.2142035;0.40991;2.93E-05;1.119054876;1.19584024;6.324991146;6.404196739;0.012169518
0.9;0.237544;0.46606;1.26E-05;1.490095732;1.591536403;5.800445742;5.87843895;0.01637315
0.95;0.2620245;0.52959;8.99E-06;2.026552244;2.115571499;5.116045703;5.167541504;0.010576245
;;;;;;;RMS Error;0.051365862
